Sentence,Category,Spacy
 Agujetas' biography on flamenco-world.,None,[]
 Mario Aguiñada Carranza (1942 – 25 August 2015) was a Salvadoran activist and politician.,H0,"[[0, 5, 'H0'], [6, 14, 'H0'], [15, 23, 'H0'], [54, 64, 'H1'], [65, 73, 'H1'], [78, 89, 'H1']]"
 He became politically active during his student years and joined the Communist Party of El Salvador.,None,[]
 In the 1970s he became Secretary General of the Nationalist Democratic Union.,H1,"[[23, 32, 'H1'], [33, 40, 'H1'], [48, 59, 'H1'], [60, 70, 'H1'], [71, 77, 'H1']]"
 During the Salvadoran Civil War he was on the side of the Farabundo Martí National Liberation Front and served as a diplomatic representative.,None,[]
 Aguiñada Carranza was member of the Legislative Assembly of El Salvador between 1991 and 1994.,H0,"[[0, 8, 'H0'], [9, 17, 'H0'], [36, 47, 'H1'], [48, 56, 'H1'], [57, 59, 'H1'], [60, 62, 'H1'], [63, 71, 'H1']]"
 Aguiñada Carranza was born in 1942 in Sonsonate.,H0,"[[0, 8, 'H0'], [9, 17, 'H0'], [30, 34, 'H1']]"
 Aguiñada Carranza became politically active during his student years.,H0,"[[0, 8, 'H0'], [9, 17, 'H0']]"
" In 1958 he took part in the Asociación de la Juventud 5 de Noviembre, protesting against President José María Lemus.",H0,"[[99, 103, 'H0'], [104, 109, 'H0'], [110, 116, 'H0']]"
 Two years later he became member of the Communist Party of El Salvador and in 1964 he became member of the national directive.,None,[]
" In the 1970s he became Secretary General of the Nationalist Democratic Union (Unión Democrática Nacionalista, (UDN)).",H1,"[[23, 32, 'H1'], [33, 40, 'H1'], [48, 59, 'H1'], [60, 70, 'H1'], [71, 76, 'H1']]"
" In 1975 his brother, Rafael, was assassinated.",H0,"[[21, 28, 'H0']]"
" In October 1980, one year after the start of the Salvadoran Civil War, several revolutionary parties, including the Communist Party, merged into the Farabundo Martí National Liberation Front (FMLN).",None,[]
" Together with fellow communist party members Schafik Handal and Américo Araujo he became member of the unified high command of the FMNL, the Dirección Revolucionaria Unificada.",H0,"[[45, 52, 'H0'], [53, 59, 'H0'], [64, 71, 'H0'], [72, 78, 'H0'], [141, 150, 'H1'], [151, 165, 'H1'], [166, 176, 'H1']]"
 Between 1984 and 1988 he served in a diplomatic position for the FMLN and spent time abroad.,None,[]
 He was part of the peace talks to end the civil war for the Frente Democrático Revolucionario and later served on the Comisión de la Consolidación de la Paz.,H1,"[[118, 126, 'H1'], [127, 129, 'H1'], [130, 132, 'H1'], [133, 146, 'H1'], [147, 149, 'H1'], [150, 152, 'H1'], [153, 157, 'H1']]"
" In the 1991 elections he was elected to the Legislative Assembly of El Salvador and served until 1994, for the UDN or Convergencia Democrática.",None,[]
" Aguiñada Carranza died on 25 August 2015, aged 73, after several years of poor health.",H0,"[[0, 8, 'H0'], [9, 17, 'H0'], [26, 28, 'H1'], [29, 35, 'H1'], [36, 41, 'H1'], [42, 46, 'H1'], [47, 50, 'H1']]"
 Juan Aguilar (15 May 1943 – 16 January 2015) was an Argentine boxer.,H0,"[[0, 4, 'H0'], [5, 12, 'H0'], [52, 61, 'H1'], [62, 68, 'H1']]"
 He competed in the 1964 Summer Olympics.,None,[]
" James Aguiar (December 10, 1946 – August 13, 2015) was an American football and wrestling coach.",H0,"[[0, 5, 'H0'], [6, 12, 'H0'], [58, 66, 'H1'], [80, 89, 'H1'], [90, 96, 'H1']]"
" He served as the head football coach at Plymouth State University in 1980, compiling a record of 6–3–1.",H1,"[[17, 21, 'H1'], [22, 30, 'H1'], [31, 36, 'H1'], [40, 48, 'H1'], [49, 54, 'H1'], [55, 65, 'H1']]"
" Bernard Zalmon Agrons (July 13, 1922 – October 16, 2015) was an American politician who was a member of the Oregon House of Representatives.",H0,"[[0, 7, 'H0'], [8, 14, 'H0'], [15, 21, 'H0'], [64, 72, 'H1'], [108, 114, 'H1'], [115, 120, 'H1'], [121, 123, 'H1'], [124, 140, 'H1']]"
 He served from 1983 to 1991 as a Democrat.,H1,"[[33, 42, 'H1']]"
" Born in Philadelphia, Agrons attended the University of California, Berkeley in forestry and also served in the United States Army Signal Corps.",H1,"[[8, 21, 'H1'], [42, 52, 'H1'], [53, 55, 'H1'], [56, 67, 'H1'], [68, 76, 'H1'], [112, 118, 'H1'], [119, 125, 'H1'], [126, 130, 'H1'], [131, 137, 'H1'], [138, 144, 'H1']]"
" He was married to Elizabeth Josephine (Betty Jo) Arnold from July 21, 1946 until her death on May 11, 2009.",H0,"[[18, 27, 'H0'], [28, 37, 'H0'], [49, 55, 'H0'], [94, 97, 'H1'], [98, 101, 'H1'], [102, 107, 'H1']]"
" Aliakbar Aghaei Moghanjoei (Persian: ‌علی‌اکبر آقایی مغانجویی‎; January 5, 1947 – April 8, 2015) was an Iranian politician.",H0,"[[0, 8, 'H0'], [9, 15, 'H0'], [16, 26, 'H0'], [37, 46, 'H0'], [64, 71, 'H1'], [72, 74, 'H1'], [75, 79, 'H1'], [82, 87, 'H1'], [88, 90, 'H1'], [91, 96, 'H1'], [104, 111, 'H1']]"
" Aghaei Moghanjoei was born in Salmas, West Azerbaijan.",H0,"[[0, 6, 'H0'], [7, 17, 'H0'], [30, 37, 'H1'], [38, 42, 'H1'], [43, 54, 'H1']]"
" He was a member of the 2000, 2004, 2008 and 2012 Islamic Consultative Assembly from the electorate of Salmas and member of Iran-Turkey Friendship society.",H1,"[[49, 56, 'H1'], [57, 69, 'H1'], [70, 78, 'H1'], [102, 108, 'H1'], [123, 134, 'H1'], [135, 145, 'H1'], [146, 154, 'H1']]"
" Aghaei Moghanjoei won with 42,026 (44.",H0,"[[0, 6, 'H0'], [7, 17, 'H0']]"
 58%) votes.,None,[]
" Hiroyuki Agawa (阿川 弘之, Agawa Hiroyuki) (December 24, 1920 – August 3, 2015) was a Japanese author.",H0,"[[0, 8, 'H0'], [9, 14, 'H0'], [15, 18, 'H0'], [19, 22, 'H0'], [23, 28, 'H0'], [29, 38, 'H0'], [49, 52, 'H1'], [53, 57, 'H1'], [58, 59, 'H1'], [60, 66, 'H1'], [67, 69, 'H1'], [70, 75, 'H1'], [76, 79, 'H1'], [82, 90, 'H1'], [91, 98, 'H1']]"
" He was known for his fiction centered on World War II, as well as his biographies and essays.",None,[]
" Agawa was born in Hiroshima, Japan.",H0,"[[0, 5, 'H0'], [18, 28, 'H1'], [29, 35, 'H1']]"
 As a high school student Agawa was influenced by the Japanese author Naoya Shiga.,H0,"[[25, 30, 'H0'], [53, 61, 'H1'], [62, 68, 'H1'], [69, 74, 'H0'], [75, 81, 'H0']]"
 He entered the Tokyo Imperial University to study Japanese literature.,H1,"[[15, 20, 'H1'], [21, 29, 'H1'], [30, 40, 'H1'], [50, 58, 'H1']]"
" Upon graduation in 1942, Agawa was conscripted to serve in the Imperial Japanese Navy, where he worked as an intelligence officer breaking Chinese military codes until the end of the war.",H0,"[[25, 30, 'H0'], [63, 71, 'H1'], [72, 80, 'H1'], [81, 86, 'H1'], [109, 121, 'H1'], [122, 129, 'H1'], [139, 146, 'H1']]"
" He returned to Hiroshima, where his parents had experienced the atomic bomb, in March 1946.",H1,"[[15, 25, 'H1']]"
" After World War II Agawa wrote his first short story Nennen Saisai (Years upon Years, 1946), which was a classic I Novel, or autobiographical novel, recounting the reunion with his parents.",H0,"[[19, 24, 'H0']]"
" It follows the style of Naoya Shiga, who is said to have praised the work.",H0,"[[24, 29, 'H0'], [30, 36, 'H0']]"
" August 6 as Agawa notes in a postscript, combines the stories of friends and acquaintances who experienced the bombing into the testimony of one family.",H0,"[[12, 17, 'H0']]"
" Occupation censorship at the time was strict, but the story passed because, the author later observed, ""it made no reference to the problems of after-effect and continued no overt criticism of the U.",H1,"[[80, 86, 'H1']]"
 S.,None,[]
" "" Agawa came to popular and critical attention with his Citadel in Spring (春の城, 1952), which was awarded the Yomiuri Prize.",H0,"[[2, 7, 'H0']]"
" (He later revisited the same theme of his experiences as a student soldier in Kurai hato (Dark waves, 1974)).",H1,"[[59, 66, 'H1'], [67, 74, 'H1']]"
" Ma no isan (Devil's Heritage, 1953), a documentary novel, is an account of the bombing of Hiroshima through the eyes of a young Tokyo reporter, handling, among other topics, the death of his Hiroshima nephew and survivors' reactions to the Atomic bomb Casualty Commission, the U.",H1,"[[128, 133, 'H1'], [134, 143, 'H1']]"
 S.,None,[]
 agency that conducted research on atomic victims.,None,[]
" Agawa's four major biographical novels are Yamamoto Isoroku (山本五十六, 1965), Yonai Mitsumasa (米内光政, 1978), Inoue Seibi (井上成美, 1986), and Shiga Naoya (志賀直哉, 1994).",H0,"[[0, 7, 'H0']]"
" His other major works include Kumo no bohyo (Grave markers in the clouds, 1955), and Gunkan Nagato no shogai (The life of the warship Nagato, 1975).",None,[]
 Agawa was awarded the Order of Culture (Bunka Kunsho) in 1999.,H0,"[[0, 5, 'H0']]"
" He is the father of Sawako Agawa, popular author and TV personality, and Naoyuki Agawa, professor of law at Keio University.",H0,"[[20, 26, 'H0'], [27, 33, 'H0'], [42, 48, 'H1'], [53, 55, 'H1'], [56, 68, 'H1'], [73, 80, 'H0'], [81, 87, 'H0'], [88, 97, 'H1'], [101, 104, 'H1'], [108, 112, 'H1'], [113, 124, 'H1']]"
" 1952 Yomiuri Prize - Citadel in Spring, (Haru no shiro,「春の城」) 1966 Shincho Literary Prize - The Reluctant Admiral (Yamamoto Isoroku,「山本五十六」) 1987 Nippon Grand Literary Prize - Inoue Seibi (「井上成美」) 1994 Noma Literary Prize - Shiga Naoya (「志賀直哉」) 2002 Yomiuri Prize - Shokumi-Buburoku (「食味風々録」) 2007 Kikuchi Kan Prize J'Lit | Authors : Hiroyuki Agawa | Books from Japan Contemporary Authors Online, Gale, 2002 Burial in the Clouds, Tuttle Pub.",H0,"[[334, 342, 'H0'], [343, 348, 'H0']]"
" Aarthi Agarwal (March 5, 1984 – June 6, 2015) was an Indian-American actress who primarily worked in Telugu cinema, also known as Tollywood.",H0,"[[0, 6, 'H0'], [7, 14, 'H0'], [22, 24, 'H1'], [25, 29, 'H1'], [30, 31, 'H1'], [32, 36, 'H1'], [37, 39, 'H1'], [40, 45, 'H1'], [46, 49, 'H1'], [53, 68, 'H1'], [69, 76, 'H1'], [101, 107, 'H1'], [108, 115, 'H1'], [130, 140, 'H1']]"
" She was the older sister of Aditi Agarwal, also an actress.",H0,"[[28, 33, 'H0'], [34, 42, 'H0'], [51, 59, 'H1']]"
" Agarwal nandini was born on March 5, 1984 in New Jersey to Gujarati parents.",H0,"[[0, 7, 'H0'], [8, 15, 'H0'], [28, 33, 'H1'], [34, 36, 'H1'], [37, 41, 'H1'], [45, 48, 'H1'], [49, 55, 'H1'], [59, 67, 'H1']]"
" Her father, Shashank, is in the hotel business and her mother, Veema, is a homemaker.",H0,"[[12, 21, 'H0'], [32, 37, 'H1'], [38, 46, 'H1'], [63, 69, 'H0'], [75, 85, 'H1']]"
 She has two siblings.,None,[]
" At around 14 years of age, actor Sunil Shetty spotted her and invited her to dance on stage in Philadelphia, Pennsylvania.",H0,"[[33, 38, 'H0'], [39, 45, 'H0']]"
" After the performance, he asked her father to encourage her to take up acting in Bollywood.",H1,"[[71, 77, 'H1']]"
" At age 16, she made her debut with Paagalpan.",None,[]
 Agarwal made her Telugu film debut in Nuvvu Naaku Nachav with actor Venkatesh.,H0,"[[0, 7, 'H0'], [17, 23, 'H1'], [68, 78, 'H0']]"
" She was one of the few non-Telugu speaking actresses to work with noted Indian film stars Chiranjeevi, Nandamuri Balakrishna, Akkineni Nagarjuna, Prabhas, Mahesh Babu, Ravi Teja, and Jr NTR.",H0,"[[23, 33, 'H1'], [72, 78, 'H1'], [90, 102, 'H0'], [103, 112, 'H0'], [113, 125, 'H0'], [126, 134, 'H0'], [135, 145, 'H0'], [146, 154, 'H0'], [155, 161, 'H0'], [162, 167, 'H0'], [168, 172, 'H0'], [173, 178, 'H0'], [183, 185, 'H0'], [186, 190, 'H0']]"
" In 2005, The Hindu reported that Agarwal had attempted suicide after she was hospitalized with internal head injuries at Apollo Hospital, Jubilee Hills, Hyderabad and put on ventilator support.",H0,"[[13, 18, 'H1'], [33, 40, 'H0'], [45, 54, 'H1'], [55, 62, 'H1'], [77, 89, 'H1'], [95, 103, 'H1'], [104, 108, 'H1'], [109, 117, 'H1'], [121, 127, 'H1'], [128, 137, 'H1'], [138, 145, 'H1'], [146, 152, 'H1'], [153, 162, 'H1'], [174, 184, 'H1'], [185, 193, 'H1']]"
" In 2007, Agarwal married Tasval Kumar, a U.",H0,"[[9, 16, 'H0'], [25, 31, 'H0'], [32, 38, 'H0'], [41, 43, 'H1']]"
 S.,H1,"[[0, 2, 'H1']]"
 -based Indian software engineer; the couple divorced in 2009.,H1,"[[0, 6, 'H1'], [7, 13, 'H1'], [14, 22, 'H1'], [23, 32, 'H1']]"
" On June 6, 2015, Agarwal was pronounced dead on arrival at AtlantiCare Regional Medical Center in Atlantic City, New Jersey.",H0,"[[3, 7, 'H1'], [8, 10, 'H1'], [11, 16, 'H1'], [17, 24, 'H0'], [59, 70, 'H1'], [71, 79, 'H1'], [80, 87, 'H1'], [88, 94, 'H1'], [95, 97, 'H1'], [98, 106, 'H1'], [107, 112, 'H1'], [113, 116, 'H1'], [117, 124, 'H1']]"
" Agarwal, who had undergone a liposuction surgery six weeks prior, had severe breathing problems before her death.",H0,"[[0, 8, 'H0'], [29, 40, 'H1'], [41, 48, 'H1'], [70, 76, 'H1'], [77, 86, 'H1'], [87, 95, 'H1']]"
 Her manager stated the cause of her death was cardiac arrest.,H1,"[[46, 53, 'H1'], [54, 61, 'H1']]"
 She had been living with her parents in Egg Harbor Township.,None,[]
" Gole Afroz (1947 – 2015) was a Bangladeshi socialite and member of the Singranatore family, the wife of politician M.",H0,"[[0, 4, 'H0'], [5, 10, 'H0'], [17, 18, 'H1'], [19, 24, 'H1'], [31, 42, 'H1'], [43, 52, 'H1'], [57, 63, 'H1'], [71, 83, 'H0'], [104, 114, 'H1'], [115, 117, 'H0']]"
 M.,H0,"[[0, 2, 'H0']]"
 Rahmat Ullah.,H0,"[[0, 6, 'H0'], [7, 13, 'H0']]"
 She was the eldest daughter of Gulbadan Begum of Natore who was the eldest child of Jalaluddin Mirza and her husband Shamez Uddin Ahmed.,H0,"[[31, 39, 'H0'], [40, 45, 'H0'], [49, 55, 'H1'], [84, 94, 'H0'], [95, 100, 'H0'], [117, 123, 'H0'], [124, 129, 'H0'], [130, 136, 'H0']]"
" The Gole Afroz College, the first public college in Singra (now under the Government of Bangladesh) was named in her honor during the provincial government of East Pakistan in 1970.",H1,"[[4, 8, 'H1'], [9, 14, 'H1'], [15, 23, 'H1'], [52, 58, 'H1'], [88, 99, 'H1'], [159, 163, 'H1'], [164, 172, 'H1']]"
" After the war of 1971, a private college, the Rahmat Iqbal College was set up and named her second born son.",H1,"[[46, 52, 'H1'], [53, 58, 'H1'], [59, 66, 'H1']]"
" Eva Aeppli (2 May 1925 – May 4, 2015) was a Swiss artist.",H0,"[[0, 3, 'H0'], [4, 10, 'H0'], [14, 17, 'H1'], [18, 22, 'H1'], [25, 28, 'H1'], [29, 31, 'H1'], [32, 37, 'H1'], [44, 49, 'H1'], [50, 57, 'H1']]"
" Born in Zofingen, Aeppli spent her childhood in Basel where she attended the School of Decorative Arts.",H1,"[[8, 17, 'H1'], [77, 83, 'H1'], [84, 86, 'H1'], [87, 97, 'H1'], [98, 103, 'H1']]"
" Her father was a Waldorf educator and child development author, Willi Aeppli, who worked with Rudolf Steiner.",H0,"[[17, 24, 'H1'], [25, 33, 'H1'], [38, 43, 'H1'], [44, 55, 'H1'], [56, 63, 'H1'], [64, 69, 'H0'], [70, 77, 'H0'], [94, 100, 'H0'], [101, 109, 'H0']]"
" She moved to France in 1952 with her second husband, the sculptor Jean Tinguely.",H0,"[[57, 65, 'H1'], [66, 70, 'H0'], [71, 80, 'H0']]"
 Subsequently she began her artistic career as a painter in Paris.,H1,"[[27, 35, 'H1'], [48, 55, 'H1']]"
" From 1954 to 1960 Aeppli and Tinguely shared a living and working space, at the Impasse Ronsin, opposite Constantin Brancusi's which had been there since 1916.",H0,"[[18, 24, 'H0'], [29, 37, 'H0'], [80, 87, 'H1'], [88, 95, 'H1'], [96, 104, 'H1'], [105, 115, 'H1'], [116, 126, 'H1']]"
" They belonged to the Parisian avantgarde with other artists Daniel Spoerri, Yves Klein and Niki de Saint-Phalle.",H0,"[[21, 29, 'H1'], [30, 40, 'H1'], [52, 59, 'H1'], [60, 66, 'H0'], [67, 75, 'H0'], [76, 80, 'H0'], [81, 86, 'H0'], [91, 95, 'H0'], [96, 98, 'H0'], [99, 112, 'H0']]"
 Eva Aeppli became interested in sculpting figurines in textile and in bronze.,H0,"[[0, 3, 'H0'], [4, 10, 'H0'], [32, 41, 'H1'], [42, 51, 'H1'], [55, 62, 'H1'], [70, 77, 'H1']]"
" In 1975, she discovered astrology thanks to Jacques Berthon and the painter Eric Leraille.",H0,"[[24, 33, 'H1'], [44, 51, 'H0'], [52, 59, 'H0'], [68, 75, 'H1'], [76, 80, 'H0'], [81, 90, 'H0']]"
" Fifteen years later, she decided to combat poverty, oppression and ignorance by creating the Myrrahkir Foundation.",H1,"[[93, 102, 'H1'], [103, 114, 'H1']]"
" Aeppli lived until the age of 90 and died in Normandy, France.",H0,"[[0, 6, 'H0'], [30, 32, 'H1'], [45, 54, 'H1'], [55, 62, 'H1']]"
" Aeppli's first child, with architect Hans Leu, was artist Felix Leu (1945).",H0,"[[0, 8, 'H0'], [27, 36, 'H1'], [37, 41, 'H0'], [42, 46, 'H0'], [51, 57, 'H1'], [58, 63, 'H0'], [64, 67, 'H0']]"
" Her grandchildren are therapist Jane Leu Rekas, tattoo artist and artist Filip Leu, former model Ama Leu, artist Aia Leu and musician Ajja Leu.",H0,"[[22, 31, 'H1'], [32, 36, 'H0'], [37, 40, 'H0'], [41, 47, 'H0'], [48, 54, 'H1'], [55, 61, 'H1'], [66, 72, 'H1'], [73, 78, 'H0'], [79, 83, 'H0'], [91, 96, 'H1'], [97, 100, 'H0'], [101, 105, 'H0'], [106, 112, 'H1'], [113, 116, 'H0'], [117, 120, 'H0'], [125, 133, 'H1'], [134, 138, 'H0'], [139, 143, 'H0']]"
 Aeppli's daughter with Jean Tinguely is painter Miriam Tinguely.,H0,"[[0, 8, 'H0'], [23, 27, 'H0'], [28, 36, 'H0'], [40, 47, 'H1'], [48, 54, 'H0'], [55, 64, 'H0']]"
" ""Eva Aeppli"".",H0,"[[5, 13, 'H0']]"
 SIKART dictionary and database.,None,[]
" Eva Aeppli in German, French and Italian in the online Historical Dictionary of Switzerland.",H0,"[[0, 3, 'H0'], [4, 10, 'H0']]"
 Jack W.,H0,"[[0, 4, 'H0'], [5, 7, 'H0']]"
" Aeby (; August 16, 1923 – June 19, 2015) was an American environmental physicist most famous for having taken the only well-exposed color photograph of the first detonation of a nuclear weapon on July 16, 1945 at the Trinity nuclear test site in New Mexico.",H0,"[[0, 4, 'H0'], [8, 14, 'H1'], [15, 18, 'H1'], [19, 23, 'H1'], [26, 30, 'H1'], [31, 34, 'H1'], [35, 40, 'H1'], [48, 56, 'H1'], [57, 70, 'H1'], [71, 80, 'H1'], [217, 224, 'H1'], [225, 232, 'H1'], [233, 237, 'H1'], [238, 242, 'H1']]"
" Jack Aeby was born on August 16, 1923 in Mount City, Missouri, United States.",H0,"[[0, 4, 'H0'], [5, 9, 'H0'], [22, 28, 'H1'], [29, 32, 'H1'], [33, 37, 'H1'], [41, 46, 'H1'], [47, 52, 'H1'], [53, 62, 'H1'], [63, 69, 'H1'], [70, 77, 'H1']]"
" In 1942, Aeby joined the Manhattan Project by filling out an employment application in Albuquerque.",H0,"[[9, 13, 'H0'], [25, 34, 'H1'], [35, 42, 'H1'], [87, 99, 'H1']]"
" He did a lot of jobs, including ferrying scientists and equipment between Albuquerque and Los Alamos.",None,[]
" Though a civilian, he worked his way up into the SED (Special Engineering Detachment) in technician roles and eventually witnessed nearly 100 nuclear explosions.",H1,"[[49, 52, 'H1'], [62, 73, 'H1'], [74, 85, 'H1'], [86, 88, 'H1']]"
" After getting his degree at UC Berkeley after the war, he returned, in the Health Physics Department.",H1,"[[28, 30, 'H1'], [31, 39, 'H1'], [75, 81, 'H1'], [82, 89, 'H1'], [90, 101, 'H1']]"
" On July 16, 1945, Aeby took the only well-exposed color photograph of the first detonation of a nuclear weapon at the Trinity nuclear test site in New Mexico.",H0,"[[18, 22, 'H0'], [118, 125, 'H1'], [126, 133, 'H1'], [134, 138, 'H1'], [139, 143, 'H1']]"
" While color motion pictures of the Trinity test were made, most were badly overexposed or damaged due to the fireball's tendency to blister and solarize the film.",None,[]
 Aeby was a civilian assigned to the Physics Group 5 with Emilio Segrè and Owen Chamberlain at the time his snapshot was taken.,H0,"[[0, 4, 'H0'], [36, 43, 'H1'], [44, 49, 'H1'], [50, 51, 'H1'], [57, 63, 'H0'], [64, 69, 'H0'], [74, 78, 'H0'], [79, 90, 'H0']]"
" The photo was taken with a Perfex 33 with a 35mm lens, using a shutter speed of 1/100 at f4 and Anscochrome color movie stock film.",None,[]
" Aeby was not an official observer at the test site, but was invited along to take informal photos of the work, which he had commonly done since he arrived at Los Alamos.",H0,"[[0, 4, 'H0']]"
" He says he took the photos of the blast on a whim, ""it was there so I shot it"".",None,[]
" He took the film, a non-standard piece of Ansochrome movie stock film, out of the camera that night at a local photo lab, and worked it through the 21 step procedure for color film developing.",None,[]
" Later on, Los Alamos management asked him if they could keep the original negative ""for safe keeping"".",None,[]
 It has since been lost.,None,[]
 Aeby says in most uses of the photo it is reversed.,H0,"[[0, 4, 'H0']]"
 This was done intentionally so that the asymmetrical fireball and cloud would look the same as other official pictures taken from the north; Aeby was on the south at the Base Camp when he took the picture.,H0,"[[141, 145, 'H0']]"
" Aeby is a source for a story about a notable estimate made by Enrico Fermi at that test: As the shock wave hit Base Camp, Aeby saw Enrico Fermi with a handful of torn paper.",H0,"[[0, 4, 'H0'], [62, 68, 'H0'], [69, 74, 'H0'], [122, 126, 'H0'], [131, 137, 'H0'], [138, 143, 'H0']]"
" ""He was dribbling it in the air.",None,[]
 When the shock wave came it moved the confetti.,None,[]
" "" Fermi had just estimated the yield of the first nuclear explosion at the equivalent of 10,000 tons of TNT.",H0,"[[2, 7, 'H0']]"
" Later measures put the yield nearly twice as much, at 18.",None,[]
 6 kilotons.,None,[]
 And this terrible new energy came from a plutonium ball weighing 13.,None,[]
 6 pounds.,None,[]
 Aeby lived in the Española Valley in northern New Mexico with his wife Jeanne.,H0,"[[0, 4, 'H0'], [18, 26, 'H1'], [27, 33, 'H1'], [37, 45, 'H1'], [46, 49, 'H1'], [50, 56, 'H1'], [71, 78, 'H0']]"
 They had 5 children.,None,[]
 Aeby died at his home in Española in 2015.,H0,"[[0, 4, 'H0'], [25, 33, 'H1'], [37, 42, 'H1']]"
" Berlyn Brixner – official Trinity test photographer Jeffrey, Ian (2014).",H0,"[[0, 6, 'H0'], [7, 14, 'H0'], [52, 60, 'H0'], [61, 64, 'H0']]"
 The Photography Book (2nd ed.,None,[]
 ).,None,[]
 London: Phaidon Press.,None,[]
 ISBN 9780714867380.,None,[]
" Kelly, Cynthia C.",None,[]
 (August 2003).,None,[]
" ""Jack Aeby's Interview"".",H0,"[[6, 12, 'H0']]"
 Voices of the Manhattan Project.,None,[]
 Atomic Heritage Foundation.,None,[]
 Retrieved 2016-08-03.,None,[]
" Melnick, Aj (2006).",None,[]
 They Changed the World: People of the Manhattan Project.,None,[]
 Sunstone Press.,None,[]
 pp.,None,[]
 14–15.,None,[]
 ISBN 9780865345300.,None,[]
" Siegel, Robert (July 15, 2005).",H0,"[[0, 7, 'H0'], [8, 14, 'H0']]"
" ""Photographing the Dawn of the Nuclear Age"".",None,[]
 All Things Considered (transcript).,None,[]
 NPR.,None,[]
 Retrieved 2015-03-20.,None,[]
" ""Trinity (color Photograph): Trinity Test Site (July 16, 1945)"".",None,[]
 The Manhattan Project: An Interactive History.,None,[]
 U.,None,[]
 S.,None,[]
 Department of Energy- Office of History and Heritage Resources.,None,[]
 Retrieved 2015-03-20.,None,[]
" Robert Adrian (1935–2015), also known as Robert Adrian X, was a Canadian artist who made radio and telecommunications art.",H0,"[[0, 6, 'H0'], [7, 13, 'H0'], [27, 31, 'H1'], [41, 47, 'H0'], [48, 54, 'H0'], [55, 57, 'H0'], [64, 72, 'H1'], [73, 79, 'H1']]"
" Adrian moved from Canada to Vienna, Austria in 1972 where he became known for creating experimental artworks using radio and communications technologies.",H0,"[[0, 6, 'H0']]"
" His work The World in 24 Hours, which connected artists in different cities and continents through telephone lines and radio, is considered to be one of the first experiments in online culture.",None,[]
 Adrian is considered to be a pioneer in the field of telecommunications art and media art.,H0,"[[0, 6, 'H0']]"
" Adrian was born in Toronto, Ontario, Canada on February 22, 1935.",None,[]
 He moved to Vienna in 1972.,None,[]
 Adrian was an early user of telecommunications and electronics technologies for artistic purposes.,H0,"[[0, 6, 'H0']]"
" One of his earliest telecommunications projects, in collaboration with Bill Bartlett, was a work that used the business computer network of the company I.",H0,"[[71, 75, 'H0'], [76, 85, 'H0']]"
 P.,None,[]
" Sharp Associates, which Adrian had learned about and gained access to through fellow artist Norman White.",H0,"[[24, 30, 'H0'], [92, 98, 'H0'], [99, 105, 'H0']]"
" Called Interplay, the piece was a telecommunications event that linked a dozen cities in Canada, the US, Australia, Austria and Japan on April 1, 1979.",None,[]
" Following Interplay, Bartlett and Adrian organized and implemented of one of the first electronic mail systems for artists in 1979/1980.",None,[]
 This again used the I.,None,[]
 P.,None,[]
" Sharp Associates computer network, this time from its Vienna office.",None,[]
 Adrian was instrumental in setting up the system ARTBOX (later renamed to ARTEX) in 1979 for mail and media artists to use to communicate between each other.,H0,"[[0, 6, 'H0']]"
" In 1982, Adrian organized Die Welt in 24 Stunden (The World in 24 Hours), a telecommunications work that used telephone lines and slow-scan television to link sixteen cities on three continents together.",H0,"[[9, 15, 'H0']]"
 The piece is widely cited as an early example of networked electronic art and online culture.,None,[]
 It was commissioned by and presented at Ars Electronica Linz.,H1,"[[40, 43, 'H1'], [44, 55, 'H1'], [56, 61, 'H1']]"
" In 2009, Adrian was a co-recipient of the US$50,000 Nam June Paik Art Center Prize.",H0,"[[9, 15, 'H0'], [42, 51, 'H1'], [52, 55, 'H1'], [56, 60, 'H1'], [61, 65, 'H1'], [66, 69, 'H1'], [70, 76, 'H1'], [77, 83, 'H1']]"
" Adiran died in Vienna on September 7, 2015.",H0,"[[0, 6, 'H0'], [15, 21, 'H1'], [25, 34, 'H1'], [35, 37, 'H1'], [38, 43, 'H1']]"
" At the time of his death, the Austrian minister of culture Josef Ostermayer called Adrian ""ein Pionier der Medienkunst"" (a pioneer of media art).",H0,"[[30, 38, 'H1'], [39, 47, 'H1'], [51, 58, 'H1'], [59, 64, 'H0'], [65, 75, 'H0'], [83, 89, 'H0']]"
 Egon Adler (18 February 1937 – 28 January 2015) was a German cyclist.,H0,"[[0, 4, 'H0'], [5, 10, 'H0'], [15, 23, 'H1'], [24, 28, 'H1'], [31, 33, 'H1'], [34, 41, 'H1'], [42, 47, 'H1'], [54, 60, 'H1'], [61, 69, 'H1']]"
 Winthrop R.,H0,"[[0, 8, 'H0'], [9, 11, 'H0']]"
" Adkins (October 25, 1932 – July 16, 2015) was a professor emeritus of psychology and education at Teachers College, Columbia University.",H0,"[[0, 6, 'H0'], [16, 19, 'H1'], [20, 24, 'H1'], [27, 31, 'H1'], [32, 35, 'H1'], [36, 41, 'H1'], [48, 57, 'H1'], [58, 66, 'H1'], [70, 80, 'H1'], [85, 94, 'H1'], [98, 106, 'H1'], [107, 115, 'H1'], [116, 124, 'H1'], [125, 136, 'H1']]"
